bar_id,artist,bar,song,album,spotify,tag
1001,Despot,All I got is time and I heard that this shit's money,Versailles,Aethiopes,https://open.spotify.com/track/5XeSZTj2XOqFHcr78W9guM,
1002,Billy Woods,Life is just two quarters in the machine,A Day In A Week In A Year,Hiding Places,https://open.spotify.com/track/6BCHHTTLKvHkCANNBnsgNH,
1003,Alpha Tha Alien,Look in the mirror cause that should be who your hero is,Intellectual Property,Intellectual Property,https://open.spotify.com/track/5dkXZmTxezbXQLjIIOgfwo,
1004,Open Mike Eagle,I'm livin at the cross of awesome and super good,Intellectual Property,Intellectual Property,https://open.spotify.com/track/5dkXZmTxezbXQLjIIOgfwo,
1005,Quelle Chris,"If everything happens for a reason, I ain't really got shit else to do but be greatful",Alive ain't always living,Deathframe,https://open.spotify.com/track/3Grsh3t0WA22tDgrjzVYAK,
1006,Ka,"What I pieced together and made from it, built me strong enough to reach the most raised summit",Sad to say,A Martyr's Reward,https://open.spotify.com/track/3BzM1kBWdMiKRKLNPHoo7j,
1007,Chimezie,Growing pains are always far from over,Growing Pains,Growing Pains,https://open.spotify.com/track/0ZNLn0U7tPWMXPM83jAlOo,
1008,Homeboy Sandman,I'm bound to fall but I'm bound to rise,Go Hard,Anjelitu,https://open.spotify.com/track/3bmlL57J1DsXu3WawFVW1w,
1009,Jay Cinema,You've got to realize all the real lies,Realize,"Peace of Mind, Mind of Peace",https://open.spotify.com/track/4zcwYGDkPiYUWQ4MLSbJtJ,
1010,Elijah Quinton,Sometimes it's best to sever than to suffer,Just Breathe,Griot,https://open.spotify.com/track/6xQgkotl2wBEMK0JVphZZk,
1011,Mavi,"If you plant love love will grow, if you plant fear fear will grow",Self Love,Let the Sun Talk,https://open.spotify.com/track/5lZ6f9AO0OrwsdFyQAfKqV,
1012,Maxo,Better stay you and smile everyday,Time,Lil Big Man,https://open.spotify.com/track/1jPTKmJDrN9X9TqxvH5jC9,
